course_name,theory_credits,practical_credits,total_credits,note,class
Tên học phần,Số tín chỉ,,,Ghi chú,
,LT,TH,Tổng,,
Lập trình mạng,1.5,0.5,2,,23GIT
Trí tuệ nhân tạo,2,1,3,,23GIT
Đồ án cơ sở 4 (IT),0,1,1,,23GIT
Thực tập thực tế (IT),0,1,1,,23GIT
Tiếng Anh nâng cao 3,2,0,2,,23GIT
Linux và phần mềm nguồn mở,1.5,0.5,2,,23GIT
Phân tích và thiết kế giải thuật,1.5,0.5,2,,23GIT
Lập trình hệ thống,1.5,0.5,2,,23GIT
Đồ họa máy tính,2,1,3,,23GIT
Chuyên đề 2 (IT),2,0,2,Lập trình xe tự hành,23GIT
TỔNG,14,6,20,,
,,,,,
Tên học phần,Số tín chỉ,,,Ghi chú,
,LT,TH,Tổng,,
Lập trình mạng,1.5,0.5,2,,23JIT-KS
Trí tuệ nhân tạo,2,1,3,,23JIT-KS
Đồ án cơ sở 4 (IT),0,1,1,,23JIT-KS
Thực tập thực tế (IT),0,1,1,,23JIT-KS
Tiếng Nhật 2,2,0,2,,23JIT-KS
Linux và phần mềm nguồn mở,1.5,0.5,2,,23JIT-KS
Phân tích và thiết kế giải thuật,1.5,0.5,2,,23JIT-KS
Lập trình hệ thống,1.5,0.5,2,,23JIT-KS
Đồ họa máy tính,2,1,3,,23JIT-KS
Chuyên đề 2 (IT),2,0,2,Khởi nghiệp thực tế,23JIT-KS
TỔNG,14,6,20,,
,,,,,
Tên học phần,Số tín chỉ,,,Ghi chú,
,LT,TH,Tổng,,
Lập trình mạng,1.5,0.5,2,,23KIT-KS
Trí tuệ nhân tạo,2,1,3,,23KIT-KS
Đồ án cơ sở 4 (IT),0,1,1,,23KIT-KS
Thực tập thực tế (IT),0,1,1,,23KIT-KS
Tiếng Hàn doanh nghiệp 1,2,0,2,,23KIT-KS
Linux và phần mềm nguồn mở,1.5,0.5,2,,23KIT-KS
Phân tích và thiết kế giải thuật,1.5,0.5,2,,23KIT-KS
Lập trình hệ thống,1.5,0.5,2,,23KIT-KS
Đồ họa máy tính,2,1,3,,23KIT-KS
Chuyên đề 2 (IT),2,0,2,PosgresQL,23KIT-KS
TỔNG,14,6,20,,
,,,,,
Tên học phần,Số tín chỉ,,,Ghi chú,
,LT,TH,Tổng,,
Lập trình mạng,1.5,0.5,2,,23MC-KS
Trí tuệ nhân tạo,2,1,3,,23MC-KS
Đồ án cơ sở 4 (IT),0,1,1,,23MC-KS
Thực tập thực tế (IT),0,1,1,,23MC-KS
Tiếng Anh nâng cao 3,2,0,2,,23MC-KS
Kỹ thuật chụp ảnh và quay phim,1,1,2,,23MC-KS
Xử lý ảnh cơ bản,1,1,2,,23MC-KS
Kịch bản truyền thông,1,1,2,,23MC-KS
Thiết kế nhân vật 2 chiều,1,1,2,,23MC-KS
Chuyên đề 1 (IT),2,0,2,Luật phối cảnh,23MC-KS
TỔNG,11.5,7.5,19,,
,,,,,
Tên học phần,Số tín chỉ,,,Ghi chú,
,LT,TH,Tổng,,
Xác suất thống kê,2,0,2,,23DA
Toán rời rạc,2,0,2,,23DA
Lập trình di động,2,1,3,,23DA
Đồ án cơ sở 4 (IT),0,1,1,,23DA
Thực tập thực tế (IT),0,1,1,,23DA
Tiếng Anh nâng cao 3,2,0,2,,23DA
Nguyên lý thiết kế đồ họa,2,0,2,,23DA
Kỹ thuật chụp ảnh và quay phim,1,1,2,,23DA
Nghệ thuật chữ,1,1,2,,23DA
Chuyên đề 2 (IT),2,0,2,Giải phẫu tạo hình,23DA
TỔNG,14,5,19,,
,,,,,
,,,,,
Tên học phần,Số tín chỉ,,,Ghi chú,
,LT,TH,Tổng,,
Tiếng Anh 2,2,0,2,,24IT1->4
Tiếng Anh 3,2,0,2,,24IT1->4
Giải tích 2,2,0,2,,24IT1->4
Vật lý,2,0,2,,24IT1->4
Giáo dục thể chất 3,0,1,1,,24IT1->4
Kiến trúc máy tính,2,0,2,,24IT1->4
Nguyên lý hệ điều hành,2,0,2,,24IT1->4
Phân tích và thiết kế hệ thống,3,0,3,,24IT1->4
Công nghệ và lập trình web,2,1,3,,24IT1->4
Đồ án cơ sở 2 (IT),0,1,1,,24IT1->4
Tiếng Hàn 2,3,0,3,Tự chọn,24IT1->4
TỔNG,18,3,21,,
,,,,,
Tên học phần,Số tín chỉ,,,Ghi chú,
,LT,TH,Tổng,,
Tiếng Anh 2,2,0,2,,24GIT1
Tiếng Anh 3,2,0,2,,24GIT1
Giải tích 2,2,0,2,,24GIT1
Vật lý,2,0,2,,24GIT1
Giáo dục thể chất 3,0,1,1,,24GIT1
Kiến trúc máy tính,2,0,2,,24GIT1
Nguyên lý hệ điều hành,2,0,2,,24GIT1
Phân tích và thiết kế hệ thống,3,0,3,,24GIT1
Công nghệ và lập trình web,2,1,3,,24GIT1
Đồ án cơ sở 2 (IT),0,1,1,,24GIT1
TỔNG,15,3,18,,
